Jahr;Originaltitel;Sprache;lemmatisierter Titel
2012;Vœux du paon et Vœux de l’épervier. L’empereur et ses « meilleurs chevaliers » dans la culture courtoise entre Metz, Bar et Luxemburg (début XIVe siècle);Französisch;vœu paon vœu épervier empereur meilleur chevalier culture courtois metz bar Luxemburg début 
2013;L’acte d’échange entre pratiques de l’écrit et enjeux politiques. L’acte d’échange de 963/987 entre l’abbaye Saint-Maximin de Trèves et le comte Sigefroid;Französisch;acte échange pratique écrit enjeu politique acte échange abbaye saint maximin trève comte sigefroid
2013;Die Erbtochter, der fremde Fürst und die Stände. “Internationale” Heiraten als Mittel der Machtpolitik im Spannungsfeld zwischen Hausmacht und Land;Deutsch;erbtochter fremde fürst stände international heiraten mittel machtpolitik spannungsfeld hausmacht land
2013;Face à l’évêque, le comte. Politique ottonienne et pouvoir comtal en Lotharingie à l’époque de Notger;Französisch;évêque comte politique ottonienne pouvoir comtal lotharingie époque notger
2013;Mediävistik in Luxemburg;Deutsch;mediävistik luxemburg
2013;Une faculté internationale, interdisciplinaire et connectée à la societé;Französisch;faculté international interdisciplinaire connectée societé
2014;Avouerie et châteaux dans le discours monastique. Quelques réflexions d’ordre historiographique à partir du cas du comté de Luxemburg (Xe-début XIIe siècles);Französisch;avouerie château discour monastique réflexion ordre historiographique partir cas comté Luxemburg début 
2014;« Et viriliter se defendebat ». Images masculines de la femme guerrière aux derniers siècles du Moyen Âge;Französisch;viriliter defendebat image masculin femme guerrière dernier  moyen âge
2014;Stavelot et Luxemburg. Quelques réflexions sur la formation territoriale d’un comté en « pays bénédictin »;Französisch;stavelot Luxemburg réflexion formation territorial comté pays bénédictin
2015;Le duché de Lorraine sous Ferry III. Nouvelles questions de recherche;Französisch;duché lorraine ferry nouveau question recherche
2015;Écrire et s’engager. Jean-Paul Lehners en cinq images;Französisch;écrire engager jean paul lehner cinq image
